WEBSITE,YEAR,PAGE PATH,PAGE URL,PAGE VIEWS,UNIQUE VIEWS,AVERAGE TIME ON PAGE (SECONDS),ENTRANCES,BOUNCE RATE (%),EXIT RATE (%)
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::railroad', 'about']",http://gisdata.brla.gov/datasets/ebrgis::railroad/about,14,14,0.0,14,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::polling-place-deprecated', 'about']",http://gisdata.brla.gov/datasets/ebrgis::polling-place-deprecated/about,28,14,18.37,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::building-footprint', 'about']",http://gisdata.brla.gov/datasets/ebrgis::building-footprint/about,184,69,5.68,156,0.35,0.51
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::zoning-overlay-district', 'about']",http://gisdata.brla.gov/datasets/ebrgis::zoning-overlay-district/about,18,9,0.76,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', '7ad949645e6844469fe1b641f407994f', 'explore']",http://gisdata.brla.gov/maps/7ad949645e6844469fe1b641f407994f/explore,46,13,37.04,26,0.0,0.08
gisdata.brla.gov,2023,"['', 'maps', 'bb389c32358a4364bb647fc2d744284c', 'explore']",http://gisdata.brla.gov/maps/bb389c32358a4364bb647fc2d744284c/explore,9,3,1.7,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrosco', 'about']",http://gisdata.brla.gov/datasets/ebrosco/about,16,8,1.31,16,1.0,1.0
gisdata.brla.gov,2023,"['', 'maps', '255f887fe7804f5c85219ce0457ab5a3', 'explore']",http://gisdata.brla.gov/maps/255f887fe7804f5c85219ce0457ab5a3/explore,153,37,0.98,0,0.27,0.09
gisdata.brla.gov,2023,"['', 'datasets', '4ac49283bf764c11bb67f576aa0d32f3_0', 'explore']",http://gisdata.brla.gov/datasets/4ac49283bf764c11bb67f576aa0d32f3_0/explore,42,14,1.33,14,0.0,0.33
gisdata.brla.gov,2023,"['', 'datasets', 'ada7b0e1837d4faaae3a2be903858e15', 'explore']",http://gisdata.brla.gov/datasets/ada7b0e1837d4faaae3a2be903858e15/explore,56,28,1.04,14,0.25,0.5
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::economic-development-district', 'about']",http://gisdata.brla.gov/datasets/ebrgis::economic-development-district/about,84,28,0.33,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '42acf50d3707433cbabd4033a644b2a1_0', 'explore']",http://gisdata.brla.gov/datasets/42acf50d3707433cbabd4033a644b2a1_0/explore,6,3,5.34,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', '68c3d1291e9442b38012cf0dffddf61f', 'explore']",http://gisdata.brla.gov/maps/68c3d1291e9442b38012cf0dffddf61f/explore,182,14,0.49,0,1.92,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::economic-development-district-1', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::economic-development-district-1/explore,20,10,0.74,20,1.0,1.0
gisdata.brla.gov,2023,"['', 'maps', 'd4d14f61b76c4d81a848d0c51c66aa96', 'explore']",http://gisdata.brla.gov/maps/d4d14f61b76c4d81a848d0c51c66aa96/explore,27,9,18.82,0,1.67,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::wetland', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::wetland/explore,4960,255,0.38,68,0.22,0.04
gisdata.brla.gov,2023,"['', 'maps', 'd72e18600787430984d2138ae7aa95e0', 'about']",http://gisdata.brla.gov/maps/d72e18600787430984d2138ae7aa95e0/about,42,28,0.12,42,0.33,0.33
gisdata.brla.gov,2023,"['', 'maps', '1fdd1d13567242fabe74df57aa4dc785', 'about']",http://gisdata.brla.gov/maps/1fdd1d13567242fabe74df57aa4dc785/about,98,42,5.99,98,0.86,0.86
gisdata.brla.gov,2023,"['', 'datasets', '9f788a20969c4a3984f560b83061741f_0', 'about']",http://gisdata.brla.gov/datasets/9f788a20969c4a3984f560b83061741f_0/about,14,14,1.68,14,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'public-land-survey-system-1', 'explore']",http://gisdata.brla.gov/datasets/public-land-survey-system-1/explore,168,14,0.45,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::health-care-business', 'about']",http://gisdata.brla.gov/datasets/ebrgis::health-care-business/about,8,4,14.67,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'stream-segment', 'about']",http://gisdata.brla.gov/datasets/stream-segment/about,28,14,66.27,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'bcba1bc7764d4c1b80b3f2ca49ba2418', 'about']",http://gisdata.brla.gov/maps/bcba1bc7764d4c1b80b3f2ca49ba2418/about,3,3,0.25,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'tax-parcel', 'api']",http://gisdata.brla.gov/datasets/tax-parcel/api,28,14,1.31,28,1.0,1.0
gisdata.brla.gov,2023,"['', 'maps', '0601bbba6e374ff789ceb7edc79894ea', 'explore']",http://gisdata.brla.gov/maps/0601bbba6e374ff789ceb7edc79894ea/explore,569,94,0.66,0,1.71,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'voting-precinct', 'explore']",http://gisdata.brla.gov/datasets/voting-precinct/explore,28,14,1.18,28,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::city-limit-baton-rouge-1', 'about']",http://gisdata.brla.gov/datasets/ebrgis::city-limit-baton-rouge-1/about,26,13,3.96,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'ada7b0e1837d4faaae3a2be903858e15', 'about']",http://gisdata.brla.gov/maps/ada7b0e1837d4faaae3a2be903858e15/about,14,14,6.36,14,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'cca5ca1d12804888b655baed90639b9f_0', 'about']",http://gisdata.brla.gov/datasets/cca5ca1d12804888b655baed90639b9f_0/about,15,15,245.95,15,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '73dc8f3b384e4dfcbeb162996fef62d0', 'explore']",http://gisdata.brla.gov/datasets/73dc8f3b384e4dfcbeb162996fef62d0/explore,436,114,6.61,214,0.3,0.38
gisdata.brla.gov,2023,"['', 'datasets', '3aced626bf5146098aae7ab060bffc92', 'explore']",http://gisdata.brla.gov/datasets/3aced626bf5146098aae7ab060bffc92/explore,169,19,1.9,38,0.0,0.12
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::parish-boundary', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::parish-boundary/explore,140,32,1.03,0,0.0,0.22
gisdata.brla.gov,2023,"['', 'maps', '68c3d1291e9442b38012cf0dffddf61f', 'about']",http://gisdata.brla.gov/maps/68c3d1291e9442b38012cf0dffddf61f/about,28,14,2.3,0,1.0,0.0
gisdata.brla.gov,2023,"['', 'maps', '0ff8168d8291494d9fbd666b745a4672', 'explore']",http://gisdata.brla.gov/maps/0ff8168d8291494d9fbd666b745a4672/explore,24,6,2.06,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::adjudicated-property', 'about']",http://gisdata.brla.gov/maps/ebrgis::adjudicated-property/about,65,53,3.84,65,0.8,0.8
gisdata.brla.gov,2023,"['', 'datasets', 'economic-development-district', 'about']",http://gisdata.brla.gov/datasets/economic-development-district/about,48,34,1.04,48,0.4,0.4
gisdata.brla.gov,2023,"['', 'datasets', '46cba9d6e923429897c574e9dd9420d4_0', 'explore']",http://gisdata.brla.gov/datasets/46cba9d6e923429897c574e9dd9420d4_0/explore,36,12,1.35,0,0.0,0.33
gisdata.brla.gov,2023,"['', 'maps', '8b78ffa4be1243279981bd0e99dfa45b', 'explore']",http://gisdata.brla.gov/maps/8b78ffa4be1243279981bd0e99dfa45b/explore,28,14,4.86,28,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::utility-coverage-area', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::utility-coverage-area/explore,140,14,0.44,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::estimated-flood-inundation-area-2', 'about']",http://gisdata.brla.gov/datasets/ebrgis::estimated-flood-inundation-area-2/about,4,4,0.25,4,1.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', '14e07cc94e0a4dc9b2f32cf2038917bc_0', 'explore']",http://gisdata.brla.gov/datasets/14e07cc94e0a4dc9b2f32cf2038917bc_0/explore,15,3,1.34,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '514257a8bec94c5b87e3c9adf93c12c3_0', 'explore']",http://gisdata.brla.gov/datasets/514257a8bec94c5b87e3c9adf93c12c3_0/explore,98,14,4.06,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '4ac49283bf764c11bb67f576aa0d32f3_0', 'about']",http://gisdata.brla.gov/datasets/4ac49283bf764c11bb67f576aa0d32f3_0/about,84,42,3.02,0,0.0,0.33
gisdata.brla.gov,2023,"['', 'apps', '651bf69916d54a8e8c453c0397f99a0b', 'about']",http://gisdata.brla.gov/apps/651bf69916d54a8e8c453c0397f99a0b/about,28,14,1.31,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::brec-park-deprecated', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::brec-park-deprecated/explore,378,14,0.41,0,0.0,0.04
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::adjudicated-property', 'explore']",http://gisdata.brla.gov/maps/ebrgis::adjudicated-property/explore,1057,79,0.23,60,1.27,0.07
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::natural-resource-zoning-district', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::natural-resource-zoning-district/explore,195,13,0.33,0,1.27,0.0
gisdata.brla.gov,2023,"['', 'datasets', '5474436d66ef47c29973e848236165c6_0', 'about']",http://gisdata.brla.gov/datasets/5474436d66ef47c29973e848236165c6_0/about,14,14,0.0,14,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '91a29b9c55d9406aba4759f819cf8e80', 'explore']",http://gisdata.brla.gov/datasets/91a29b9c55d9406aba4759f819cf8e80/explore,317,52,0.83,104,0.24,0.36
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::tiger-trails-route', 'about']",http://gisdata.brla.gov/datasets/ebrgis::tiger-trails-route/about,36,25,7.25,14,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::zoning-2', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::zoning-2/explore,168,14,1.09,56,0.0,0.08
gisdata.brla.gov,2023,"['', 'maps', 'cca5ca1d12804888b655baed90639b9f', 'explore']",http://gisdata.brla.gov/maps/cca5ca1d12804888b655baed90639b9f/explore,16,8,1.31,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'building-footprint', 'explore']",http://gisdata.brla.gov/datasets/building-footprint/explore,476,84,0.56,168,0.12,0.21
gisdata.brla.gov,2023,"['', 'datasets', 'tax-parcel-1', 'explore']",http://gisdata.brla.gov/datasets/tax-parcel-1/explore,28,14,0.36,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::grocery', 'about']",http://gisdata.brla.gov/maps/ebrgis::grocery/about,28,14,3.85,0,1.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'dc13642f195141cc87d8f0a33917c147', 'about']",http://gisdata.brla.gov/maps/dc13642f195141cc87d8f0a33917c147/about,220,56,1.16,78,0.13,0.07
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::industrial-area', 'about']",http://gisdata.brla.gov/datasets/ebrgis::industrial-area/about,3,3,90.48,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'd852b41da9404d3f802dbe38655d1404_0', 'explore']",http://gisdata.brla.gov/datasets/d852b41da9404d3f802dbe38655d1404_0/explore,16,8,4.33,16,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '28671adcd4934c718af6a58e41bacd15', 'explore']",http://gisdata.brla.gov/datasets/28671adcd4934c718af6a58e41bacd15/explore,21,7,2.14,14,0.0,0.33
gisdata.brla.gov,2023,"['', 'datasets', 'economic-tif-district', 'explore']",http://gisdata.brla.gov/datasets/economic-tif-district/explore,72,6,3.31,12,0.0,0.08
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::bus-route', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::bus-route/explore,490,42,0.23,14,0.34,0.06
gisdata.brla.gov,2023,"['', 'datasets', '66accdae0e4e4f6e8c329d6dbd3152ef_0', 'explore']",http://gisdata.brla.gov/datasets/66accdae0e4e4f6e8c329d6dbd3152ef_0/explore,10,2,1.5,0,0.0,0.2
gisdata.brla.gov,2023,"['', 'datasets', '027ed979c5524661b385f4351ae7fb06_0', 'explore']",http://gisdata.brla.gov/datasets/027ed979c5524661b385f4351ae7fb06_0/explore,282,48,4.03,110,0.03,0.09
gisdata.brla.gov,2023,"['', 'datasets', '46cba9d6e923429897c574e9dd9420d4', 'explore']",http://gisdata.brla.gov/datasets/46cba9d6e923429897c574e9dd9420d4/explore,260,30,1.05,118,0.48,0.2
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::lot-1', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::lot-1/explore,21,3,1.19,0,0.0,0.14
gisdata.brla.gov,2023,"['', 'apps', '5730a29232394be2970baeef43857746', 'explore']",http://gisdata.brla.gov/apps/5730a29232394be2970baeef43857746/explore,28,14,66.63,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::land-cover', 'about']",http://gisdata.brla.gov/maps/ebrgis::land-cover/about,15,15,2.74,15,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'b961ea0510d04a2b86fa0ca55a79e8a7_0', 'explore']",http://gisdata.brla.gov/datasets/b961ea0510d04a2b86fa0ca55a79e8a7_0/explore,392,14,1.61,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '1fae3843bbc2488dbe53f612fe35ade8_0', 'explore']",http://gisdata.brla.gov/datasets/1fae3843bbc2488dbe53f612fe35ade8_0/explore,15,3,3.29,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::plss', 'explore']",http://gisdata.brla.gov/maps/ebrgis::plss/explore,63,9,15.64,18,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::19th-judicial-district-court-sections-1', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::19th-judicial-district-court-sections-1/explore,48,4,0.52,8,0.0,0.08
gisdata.brla.gov,2023,"['', 'datasets', '2d3aad97790c4d898627730c1defff5f_0', 'explore']",http://gisdata.brla.gov/datasets/2d3aad97790c4d898627730c1defff5f_0/explore,50,5,0.41,10,0.0,0.1
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::natural-resource-zoning-district', 'about']",http://gisdata.brla.gov/datasets/ebrgis::natural-resource-zoning-district/about,103,64,10.88,103,0.77,0.77
gisdata.brla.gov,2023,"['', 'datasets', 'e9cbd7c87b224f11ae560d0b9b462d2b', 'explore']",http://gisdata.brla.gov/datasets/e9cbd7c87b224f11ae560d0b9b462d2b/explore,42,14,0.93,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'ab13274ff5134aafb68e70fbe965dabc', 'about']",http://gisdata.brla.gov/maps/ab13274ff5134aafb68e70fbe965dabc/about,9,9,20.13,9,0.0,0.0
gisdata.brla.gov,2023,"['', 'explore']",http://gisdata.brla.gov/explore,1956,475,2.44,284,0.25,0.3
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::benchmark', 'about']",http://gisdata.brla.gov/datasets/ebrgis::benchmark/about,42,14,0.86,42,1.0,1.0
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::land-cover-2017', 'about']",http://gisdata.brla.gov/maps/ebrgis::land-cover-2017/about,2,1,143.72,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'adb1676475e541379d5ec7deadf2830f_0', 'explore']",http://gisdata.brla.gov/datasets/adb1676475e541379d5ec7deadf2830f_0/explore,226,26,0.3,43,0.0,0.11
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::street-lighting-and-mutcd-signs', 'explore']",http://gisdata.brla.gov/maps/ebrgis::street-lighting-and-mutcd-signs/explore,84,14,0.35,0,1.5,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::brec-park', 'about']",http://gisdata.brla.gov/datasets/ebrgis::brec-park/about,30,30,0.23,30,0.93,0.93
gisdata.brla.gov,2023,"['', 'datasets', 'government-agency', 'explore']",http://gisdata.brla.gov/datasets/government-agency/explore,56,14,8.28,56,1.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::census-2020', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::census-2020/explore,184,20,2.47,24,0.0,0.37
gisdata.brla.gov,2023,"['', 'maps', 'fcbbac9a67dd467ca6566f22d3f4f3d1', 'about']",http://gisdata.brla.gov/maps/fcbbac9a67dd467ca6566f22d3f4f3d1/about,66,33,1.76,66,0.85,0.85
gisdata.brla.gov,2023,"['', 'maps', 'cca5ca1d12804888b655baed90639b9f', 'about']",http://gisdata.brla.gov/maps/cca5ca1d12804888b655baed90639b9f/about,8,8,7.2,8,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::sidewalk', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::sidewalk/explore,24,2,0.21,0,0.0,0.08
gisdata.brla.gov,2023,"['', 'datasets', '6730b81eba674ecf904b972e65ee6ea1_0', 'explore']",http://gisdata.brla.gov/datasets/6730b81eba674ecf904b972e65ee6ea1_0/explore,476,14,0.28,28,0.0,0.03
gisdata.brla.gov,2023,"['', 'datasets', '1e9d5a1c04964a7cb6ba017a082f1d35', 'explore']",http://gisdata.brla.gov/datasets/1e9d5a1c04964a7cb6ba017a082f1d35/explore,42,14,0.96,28,0.0,0.33
gisdata.brla.gov,2023,"['', 'datasets', 'judicial-justice-of-the-peace', 'explore']",http://gisdata.brla.gov/datasets/judicial-justice-of-the-peace/explore,406,84,4.84,140,0.1,0.24
gisdata.brla.gov,2023,"['', '404']",http://gisdata.brla.gov/404,56,42,2.45,28,0.5,0.75
gisdata.brla.gov,2023,"['', 'datasets', '46cba9d6e923429897c574e9dd9420d4_0', 'about']",http://gisdata.brla.gov/datasets/46cba9d6e923429897c574e9dd9420d4_0/about,56,8,12.61,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::tiger-trails-route', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::tiger-trails-route/explore,84,14,1.58,0,0.0,0.17
gisdata.brla.gov,2023,"['', 'apps', 'ebrgis::property', 'about']",http://gisdata.brla.gov/apps/ebrgis::property/about,114,57,4.56,108,0.74,0.74
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::voting-precinct', 'about']",http://gisdata.brla.gov/datasets/ebrgis::voting-precinct/about,98,28,0.93,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::floodplain-conveyance-zone', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::floodplain-conveyance-zone/explore,70,20,78.9,12,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::city-limits', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::city-limits/explore,3556,42,0.09,0,0.0,0.02
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::downtown-development-district', 'about']",http://gisdata.brla.gov/datasets/ebrgis::downtown-development-district/about,50,22,4.66,50,0.14,0.14
gisdata.brla.gov,2023,"['', 'datasets', 'road-closures', 'explore']",http://gisdata.brla.gov/datasets/road-closures/explore,94,29,5.13,50,0.07,0.53
gisdata.brla.gov,2023,"['', 'maps', 'd4d14f61b76c4d81a848d0c51c66aa96', 'about']",http://gisdata.brla.gov/maps/d4d14f61b76c4d81a848d0c51c66aa96/about,27,9,2.04,27,1.0,1.0
gisdata.brla.gov,2023,"['', 'maps', 'ebrgis::street-lighting', 'about']",http://gisdata.brla.gov/maps/ebrgis::street-lighting/about,3,3,13.6,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'lot-profile', 'explore']",http://gisdata.brla.gov/datasets/lot-profile/explore,40,20,1.32,40,1.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::zoning-overlay-district', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::zoning-overlay-district/explore,153,18,0.65,9,0.0,0.35
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::flood-protection-district-1', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::flood-protection-district-1/explore,28,14,1.34,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'e2daa43809594c43a0f807237d953930_0', 'explore']",http://gisdata.brla.gov/datasets/e2daa43809594c43a0f807237d953930_0/explore,24,8,10.85,0,0.0,0.33
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::ebrosco-map-key', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::ebrosco-map-key/explore,16,8,1.02,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::la-senate', 'about']",http://gisdata.brla.gov/datasets/ebrgis::la-senate/about,9,9,20.43,9,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::census-2020', 'about']",http://gisdata.brla.gov/datasets/ebrgis::census-2020/about,32,8,18.76,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', '15b7ab2ae8254dde8adfd40a6304534a', 'explore']",http://gisdata.brla.gov/maps/15b7ab2ae8254dde8adfd40a6304534a/explore,27,3,0.84,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::school-district', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::school-district/explore,70,14,1.5,0,1.4,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::street-speed-limit', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::street-speed-limit/explore,266,28,0.38,0,0.0,0.05
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::polling-place', 'about']",http://gisdata.brla.gov/datasets/ebrgis::polling-place/about,28,14,4.51,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', 'b5d9f1afc2ac4f37b54d8645135c76da_0', 'explore']",http://gisdata.brla.gov/datasets/b5d9f1afc2ac4f37b54d8645135c76da_0/explore,28,14,0.92,0,0.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', '68718bcfe6ef49d898799610c2707373_0', 'explore']",http://gisdata.brla.gov/datasets/68718bcfe6ef49d898799610c2707373_0/explore,21,3,1.08,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', '81cb38bb84e547148aa05d21520f46c5', 'about']",http://gisdata.brla.gov/maps/81cb38bb84e547148aa05d21520f46c5/about,25,25,2.63,25,0.61,0.61
gisdata.brla.gov,2023,"['', 'datasets', 'daa783c05ae04628af0641415c845464_0', 'explore']",http://gisdata.brla.gov/datasets/daa783c05ae04628af0641415c845464_0/explore,70,14,0.71,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'maps', 'e25f359836414f778e4c422e6fb23375', 'about']",http://gisdata.brla.gov/maps/e25f359836414f778e4c422e6fb23375/about,14,14,0.25,14,1.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', '6eb155f0d0154034b1a1513e5da847f8_0', 'explore']",http://gisdata.brla.gov/datasets/6eb155f0d0154034b1a1513e5da847f8_0/explore,42,14,2.37,0,0.0,0.0
gisdata.brla.gov,2023,"['', 'datasets', '4c406290c6cb4e44882ccf40b11bf8e0', 'explore']",http://gisdata.brla.gov/datasets/4c406290c6cb4e44882ccf40b11bf8e0/explore,70,28,2.31,70,1.0,1.0
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::polling-place-deprecated', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::polling-place-deprecated/explore,42,28,37.23,14,0.33,0.33
gisdata.brla.gov,2023,"['', 'datasets', 'ebrgis::voting-precinct', 'explore']",http://gisdata.brla.gov/datasets/ebrgis::voting-precinct/explore,84,28,1.07,0,0.0,0.0
